période_de_référence,géo,dguid,personnes_à_faible_revenu,lignes_de_faible_revenu,statistiques,unité_de_mesure,identificateur_d'unité_de_mesure,facteur_scalaire,identificateur_scalaire,vecteur,coordonnées,valeur,status,décimales
2022,Nouveau-Brunswick,2021A000213,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132714,6.4.6.2,8.2,C,1
2023,Nouveau-Brunswick,2021A000213,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132714,6.4.6.2,7.3,D,1
2022,Nouveau-Brunswick,2021A000213,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132741,6.13.6.2,7.1,C,1
2023,Nouveau-Brunswick,2021A000213,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132741,6.13.6.2,8.6,C,1
2022,Nouveau-Brunswick,2021A000213,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132750,6.16.6.2,3.3,D,1
2023,Nouveau-Brunswick,2021A000213,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132750,6.16.6.2,3.0,E,1
2022,Nouveau-Brunswick,2021A000213,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132759,6.19.6.2,11.0,D,1
2023,Nouveau-Brunswick,2021A000213,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132759,6.19.6.2,14.8,C,1
2022,Nouveau-Brunswick,2021A000213,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132762,6.20.6.2,6.8,D,1
2023,Nouveau-Brunswick,2021A000213,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132762,6.20.6.2,9.4,D,1
2022,Nouveau-Brunswick,2021A000213,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132765,6.21.6.2,27.4,D,1
2023,Nouveau-Brunswick,2021A000213,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132765,6.21.6.2,39.0,D,1
2022,Nouveau-Brunswick,2021A000213,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132780,6.26.6.2,27.8,C,1
2023,Nouveau-Brunswick,2021A000213,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132780,6.26.6.2,25.0,C,1
2022,Nouveau-Brunswick,2021A000213,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132789,6.29.6.2,21.7,C,1
2023,Nouveau-Brunswick,2021A000213,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132789,6.29.6.2,18.9,D,1
2022,Nouveau-Brunswick,2021A000213,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132798,6.32.6.2,30.8,C,1
2023,Nouveau-Brunswick,2021A000213,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132798,6.32.6.2,28.0,C,1
2022,Québec,2021A000224,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132807,7.1.6.2,6.6,B,1
2023,Québec,2021A000224,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132807,7.1.6.2,7.4,B,1
2022,Québec,2021A000224,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132810,7.2.6.2,4.8,D,1
2023,Québec,2021A000224,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132810,7.2.6.2,6.1,D,1
2022,Québec,2021A000224,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132813,7.3.6.2,8.4,B,1
2023,Québec,2021A000224,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132813,7.3.6.2,9.4,B,1
2022,Québec,2021A000224,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132816,7.4.6.2,2.9,C,1
2023,Québec,2021A000224,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132816,7.4.6.2,3.1,C,1
2022,Québec,2021A000224,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132843,7.13.6.2,3.5,C,1
2023,Québec,2021A000224,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132843,7.13.6.2,4.1,C,1
2022,Québec,2021A000224,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132852,7.16.6.2,1.4,E,1
2023,Québec,2021A000224,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132852,7.16.6.2,1.3,D,1
2022,Québec,2021A000224,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132861,7.19.6.2,4.7,D,1
2023,Québec,2021A000224,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132861,7.19.6.2,6.0,D,1
2022,Québec,2021A000224,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132864,7.20.6.2,2.9,D,1
2023,Québec,2021A000224,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132864,7.20.6.2,3.5,D,1
2022,Québec,2021A000224,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132867,7.21.6.2,14.5,D,1
2023,Québec,2021A000224,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132867,7.21.6.2,19.0,D,1
2022,Québec,2021A000224,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132882,7.26.6.2,19.3,B,1
2023,Québec,2021A000224,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132882,7.26.6.2,20.8,B,1
2022,Québec,2021A000224,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132891,7.29.6.2,6.6,D,1
2023,Québec,2021A000224,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132891,7.29.6.2,7.8,D,1
2022,Québec,2021A000224,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132900,7.32.6.2,24.8,B,1
2023,Québec,2021A000224,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132900,7.32.6.2,26.5,B,1
2022,Ontario,2021A000235,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132909,8.1.6.2,10.9,A,1
2023,Ontario,2021A000235,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132909,8.1.6.2,11.1,B,1
2022,Ontario,2021A000235,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132912,8.2.6.2,11.2,C,1
2023,Ontario,2021A000235,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132912,8.2.6.2,12.0,C,1
2022,Ontario,2021A000235,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132915,8.3.6.2,12.0,A,1
2023,Ontario,2021A000235,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132915,8.3.6.2,12.6,A,1
2022,Ontario,2021A000235,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132918,8.4.6.2,6.7,C,1
2023,Ontario,2021A000235,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132918,8.4.6.2,5.3,C,1
2022,Ontario,2021A000235,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132945,8.13.6.2,7.5,B,1
2023,Ontario,2021A000235,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132945,8.13.6.2,7.9,B,1
2022,Ontario,2021A000235,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132954,8.16.6.2,3.9,C,1
2023,Ontario,2021A000235,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132954,8.16.6.2,3.4,D,1
2022,Ontario,2021A000235,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132963,8.19.6.2,11.1,C,1
2023,Ontario,2021A000235,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132963,8.19.6.2,11.9,C,1
2022,Ontario,2021A000235,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132966,8.20.6.2,8.3,C,1
2023,Ontario,2021A000235,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132966,8.20.6.2,9.1,C,1
2022,Ontario,2021A000235,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132969,8.21.6.2,27.2,C,1
2023,Ontario,2021A000235,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132969,8.21.6.2,30.1,C,1
2022,Ontario,2021A000235,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132984,8.26.6.2,29.1,B,1
2023,Ontario,2021A000235,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132984,8.26.6.2,28.1,B,1
2022,Ontario,2021A000235,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132993,8.29.6.2,14.7,C,1
2023,Ontario,2021A000235,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132993,8.29.6.2,10.7,C,1
2022,Ontario,2021A000235,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133002,8.32.6.2,35.1,B,1
2023,Ontario,2021A000235,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133002,8.32.6.2,35.3,B,1
2022,Provinces des Prairies,2021A00014,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133011,9.1.6.2,10.3,B,1
2023,Provinces des Prairies,2021A00014,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133011,9.1.6.2,9.9,B,1
2022,Provinces des Prairies,2021A00014,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133014,9.2.6.2,12.0,C,1
2023,Provinces des Prairies,2021A00014,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133014,9.2.6.2,11.7,C,1
2022,Provinces des Prairies,2021A00014,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133017,9.3.6.2,10.8,B,1
2023,Provinces des Prairies,2021A00014,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133017,9.3.6.2,10.6,B,1
2022,Provinces des Prairies,2021A00014,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133020,9.4.6.2,5.6,C,1
2023,Provinces des Prairies,2021A00014,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133020,9.4.6.2,4.4,C,1
2022,Provinces des Prairies,2021A00014,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133047,9.13.6.2,7.6,C,1
2023,Provinces des Prairies,2021A00014,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133047,9.13.6.2,7.2,C,1
2022,Provinces des Prairies,2021A00014,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133056,9.16.6.2,3.0,D,1
2023,Provinces des Prairies,2021A00014,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133056,9.16.6.2,2.1,D,1
2022,Provinces des Prairies,2021A00014,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133065,9.19.6.2,11.9,C,1
2023,Provinces des Prairies,2021A00014,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133065,9.19.6.2,11.6,C,1
2022,Provinces des Prairies,2021A00014,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133068,9.20.6.2,8.0,D,1
2023,Provinces des Prairies,2021A00014,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133068,9.20.6.2,8.3,C,1
2022,Provinces des Prairies,2021A00014,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133071,9.21.6.2,38.9,C,1
2023,Provinces des Prairies,2021A00014,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133071,9.21.6.2,37.1,C,1
2022,Provinces des Prairies,2021A00014,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133086,9.26.6.2,25.8,B,1
2023,Provinces des Prairies,2021A00014,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133086,9.26.6.2,25.3,B,1
2022,Provinces des Prairies,2021A00014,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133095,9.29.6.2,14.7,C,1
2023,Provinces des Prairies,2021A00014,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133095,9.29.6.2,12.5,C,1
2022,Provinces des Prairies,2021A00014,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133104,9.32.6.2,29.3,B,1
2023,Provinces des Prairies,2021A00014,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133104,9.32.6.2,29.3,B,1
2022,Manitoba,2021A000246,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133113,10.1.6.2,11.5,B,1
2023,Manitoba,2021A000246,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133113,10.1.6.2,10.9,B,1
2022,Manitoba,2021A000246,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133116,10.2.6.2,13.3,C,1
2023,Manitoba,2021A000246,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133116,10.2.6.2,12.9,C,1
2022,Manitoba,2021A000246,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133119,10.3.6.2,12.3,B,1
2023,Manitoba,2021A000246,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133119,10.3.6.2,11.9,B,1
2022,Manitoba,2021A000246,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133122,10.4.6.2,6.3,D,1
2023,Manitoba,2021A000246,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133122,10.4.6.2,4.6,D,1
2022,Manitoba,2021A000246,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133149,10.13.6.2,8.8,C,1
2023,Manitoba,2021A000246,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133149,10.13.6.2,8.2,C,1
2022,Manitoba,2021A000246,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133158,10.16.6.2,3.4,D,1
2023,Manitoba,2021A000246,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133158,10.16.6.2,2.7,E,1
2022,Manitoba,2021A000246,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133167,10.19.6.2,13.1,C,1
2023,Manitoba,2021A000246,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133167,10.19.6.2,12.9,C,1
2022,Manitoba,2021A000246,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133170,10.20.6.2,8.5,D,1
2023,Manitoba,2021A000246,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133170,10.20.6.2,8.6,D,1
2022,Manitoba,2021A000246,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133173,10.21.6.2,36.4,D,1
2023,Manitoba,2021A000246,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133173,10.21.6.2,40.6,D,1
2022,Manitoba,2021A000246,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133188,10.26.6.2,26.3,B,1
2023,Manitoba,2021A000246,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133188,10.26.6.2,25.3,B,1
2022,Manitoba,2021A000246,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133197,10.29.6.2,13.8,D,1
2023,Manitoba,2021A000246,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133197,10.29.6.2,9.5,D,1
2022,Manitoba,2021A000246,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133206,10.32.6.2,31.9,C,1
2023,Manitoba,2021A000246,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133206,10.32.6.2,32.3,B,1
2022,Saskatchewan,2021A000247,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133215,11.1.6.2,11.1,B,1
2023,Saskatchewan,2021A000247,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133215,11.1.6.2,12.9,B,1
2022,Saskatchewan,2021A000247,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133218,11.2.6.2,13.6,C,1
2023,Saskatchewan,2021A000247,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133218,11.2.6.2,16.0,C,1
2022,Saskatchewan,2021A000247,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133221,11.3.6.2,11.9,B,1
2023,Saskatchewan,2021A000247,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133221,11.3.6.2,14.2,B,1
2022,Saskatchewan,2021A000247,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133224,11.4.6.2,4.9,D,1
2023,Saskatchewan,2021A000247,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133224,11.4.6.2,4.7,D,1
2022,Saskatchewan,2021A000247,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133251,11.13.6.2,8.3,C,1
2023,Saskatchewan,2021A000247,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133251,11.13.6.2,9.9,C,1
2022,Saskatchewan,2021A000247,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133260,11.16.6.2,2.5,E,1
2023,Saskatchewan,2021A000247,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133260,11.16.6.2,2.4,E,1
2022,Saskatchewan,2021A000247,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133269,11.19.6.2,13.5,C,1
2023,Saskatchewan,2021A000247,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133269,11.19.6.2,15.7,C,1
2022,Saskatchewan,2021A000247,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133272,11.20.6.2,6.9,D,1
2023,Saskatchewan,2021A000247,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133272,11.20.6.2,10.4,D,1
2022,Saskatchewan,2021A000247,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133275,11.21.6.2,43.6,D,1
2023,Saskatchewan,2021A000247,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206133275,11.21.6.2,41.8,D,1
